product_type,product_name,product_desc,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Muizen,"Trust Primo Optische Muis Zwart","De Trust Primo Optische Muis Zwart gebruik je om comfortabel te navigeren met je cursor. De bovenzijde van de muis heeft een rubberen laag waardoor je veel grip hebt wanneer je met de muis beweegt. Dankzij de symmetrische vorm van de muis gebruik je hem zowel links- als rechtshandig.","14,99","Trust","21791","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Bedraad","Nee","5,5 cm x 9 cm x 3,5 cm","Zwart"
Muizen,"Microsoft Wireless Mobile Mouse 3500","De Microsoft Wireless Mobile Mouse 3500 is zeer compact, draadloos en geschikt voor zowel links- als rechtshandige gebruikers. Dankzij Plug & Play kun je de muis op ieder systeem gebruiken zonder eerst iets te moeten installeren. Maak verbinding met de meegeleverde usb nano-ontvanger. De ontvanger kan onderweg aangesloten blijven op je laptop of kan worden opgeborgen in de muis. Door de 2.4 GHz frequentie heb je geen last van storing of ruis met andere draadloze apparatuur.","28,99","Microsoft","GMF-00292","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,62 cm x 9,54 cm x 4,03 cm","Zwart"
Muizen,"Trust Vivy Draadloos Mini Muis Zwart","De Trust Vivy Draadloos Mini Muis Zwart neem je overal mee naartoe om draadloos te gebruiken. De muis is zeer compact en past dus makkelijk in je laptoptas. De micro usb ontvanger berg je op de in muis. Dankzij de BlueSpot sensor werk je op vrijwel elk oppervlak. Naast hout en graniet werk je zelfs op tapijt. Je sluit de muis aan en gaat direct aan de slag. Je hoeft namelijk niet eerst een stuurprogramma te installeren. Dankzij de symmetrische vorm van de muis gebruik je hem zowel links- als rechtshandig.","16,99","Trust","17639","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,8 cm x 5 cm x 3,5 cm","Zwart"
Muizen,"Logitech Wireless Mouse M235","De compacte Logitech Wireless Mouse M235 maakt gebruik van de 2,4 GHz frequentie. Dit zorgt juist niet voor storing met overige apparatuur in je huishouden of op kantoor. De nauwkeurigheid van deze muis is hoog mede door de Logitech Advanced Optical Tracking technologie. Een batterij levensduur van een jaar in combinatie met een nano USB ontvanger die je kan laten zitten in je laptop, maakt de Logitech Wireless Mouse M235 een complete muis.","29,99","Logitech","910-002201","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,5 cm x 9,5 cm x 3,86 cm","Grijs, Zwart"
Muizen,"Logitech M280 Draadloze Muis Zwart","De Logitech M280 Draadloze Muis Zwart is een draadloze optische muis die op vrijwel iedere ondergrond te gebruiken is. De muis ligt fijn in de hand dankzij geronde grips van zacht rubber. Daarnaast is de alleen rechtshandig te gebruiken. Je sluit de muis aan via een usb nano-ontvanger. De Logitech M280 heeft een batterijlevensduur van 18 maanden en is dus zeer energiezuinig.","24,99","Logitech","910-004287","Compact","Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","10,54 cm x 6,79 cm x 3,84 cm","Zwart"
Muizen,"Apple Magic Mouse 2","Met de Apple Magic Mouse 2 swipe je door webpagina's, scroll je door teksten en navigeer je met gemak naar je bestanden. Dankzij het gladde, multi-touch-oppervlak bedien je deze muis net zoals je smartphone. Wie toch liever op een traditionele manier wilt klikken gebruikt gewoon de één- of tweeknopsbediening. Het lasertrackingsmechanisme combineert optische technologie met de precisie van een laser. De Apple Magic Mouse 2 werkt dus probleemloos op elke ondergrond. En dankzij de draadloze Bluetooth verbinding is een wirwar aan kabels verleden tijd. Tel daar een oplaadbare accu bij op en je hebt een muis waar je jarenlang profijt van hebt.","82,99","Apple","mla02z/a","Full-size","Linkshandig, Rechtshandig","None","Laser","None","Draadloos","Nee","5,71 cm x 11,35 cm x 2,16 cm","Wit"
Muizen,"Logitech M720 Triathlon Bluetooth Muis","Met de Logitech M720 Triathlon Draadloze Muis op je bureau bedien je tot 3 apparaten met één muis. Met een druk op de knop wissel je tussen de verschillende apparaten, handig als je altijd met meerdere apparaten tegelijk werkt. De muis maakt verbinding met bluetooth apparaten, zoals je laptop of Windows tablet. Heb je geen bluetooth op je computer? Dan maak je verbinding via de unifying usb ontvanger. Je vergeet haast dat de muis draadloos is, want de muis houdt het tot 24 maanden lang vol op een enkele batterij. Met de duimknoppen navigeer je snel door je bestanden en programma's. Daarnaast is het mogelijk om via de Logitech Options software zelf functies aan de knoppen toe te wijzen.","68,99","Logitech","910-004791","Full-size","Rechtshandig","8 knoppen","Optisch","None","Draadloos","Nee","7,4 cm x 11,5 cm x 4,5 cm","Zwart, Zilver"
Gaming muizen,"Trust GXT 158","Je kent het wel. Ben je net gewend aan de door jou zelf geprogrammeerde muisinstellingen voor jouw favoriete pc-game, verschijnt het volgende spel alweer waarin je ongetwijfeld veel tijd steken wilt. Maar ga je die met dezelfde muisinstellingen spelen? Nee, natuurlijk niet; de ene game is zeer zeker de andere niet. Gelukkig biedt het interne geheugen van de Trust GXT 158 plek aan maximaal vijf gameprofielen. Schakelen tussen opgeslagen profielen mag dus geen probleem zijn.","29,99","Trust","20324","None","Linkshandig, Rechtshandig","8 knoppen","Laser","None","Bedraad","None","7,6 cm x 12,3 cm x 3,6 cm","Blauw, Rood, Wit"
Gaming muizen,"Logitech G900 Chaos Spectrum","De gaming muis aller gaming muizen. Als er ééntje voor deze titel in aanmerking komt, is het de Logitech G900 Chaos Spectrum wel. Ja, zijn prijskaartje is ietwat zwaar. Maar dan krijg je ook wat. Te weten een heerlijk vormgegeven, draadloze 2.4 GHz-muis uitgerust met Logitech G's optische PMW3366-sensor. Deze sensor met clocktuning-technologie interpreteert elke handbeweging op het scherm met opvallend goede trackingprecisie en consistente reactietijden bij elke snelheid. Wat dit betekent? Dat de G900 Chaos Spectrum never nooit jouw reactiesnelheid in de weg kan zitten.","119,99","Logitech G","910-004608","None","Linkshandig, Rechtshandig","7 knoppen","Optisch","None","Draadloos","Ja","6,7 cm x 13 cm x 4 cm","Zwart"
Gaming muizen,"Logitech G502 Proteus Spectrum","Valt er eigenlijk nog wel wat te verbeteren aan een rijkelijk complete muis als de Logitech G502 Proteus Core, één van de populairste gaming muizen van de afgelopen paar jaren? Nee! Verbeteren niet. Uitbreiden wel. Zie hier de Logitech G502 Proteus Spectrum. Net als de Core is de Spectrum volledig naar eigen hand te zetten: pas de optische sensor aan op de ondergrond, wissel tijdens het gamen van 200 naar (max.) 12.000 dpi, stem het gewicht af en programmeer zijn 11 knoppen naar eigen wens. Wel nieuw is de RGB verlichting. De Logitech G502 Proteus Spectrum is op te lichten in 16,8 miljoen kleuren.","69,-","Logitech G","910-004618","None","Rechtshandig","11 knoppen","Optisch","None","Bedraad","Ja","7,5 cm x 13,2 cm x 4 cm","Zwart"
