product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_response,product_brightness,product_refresh,product_screentype,product_connection,product_dimensions,product_weight
Monitoren,"Philips 328P6VJEB/00","","549,-","Philips","328P6VJEB/00","32 inch","3840 x 2160 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","74,2 cm x 27 cm x 65,7 cm","9,23 kg"
Monitoren,"LG 24M47VQ","De LG 24M47VQ is een 24 inch LED-monitor met een Full HD-resolutie. Dankzij deze resolutie geniet je van een helder en overzichtelijk beeld. De 2 ms (GTG) reactietijd zorgt ervoor dat de LG 24M47VQ geschikt is voor multimedia en gaming. Het aansluiten van een computer doe je via de HDMI-, DVI- of VGA-poort. Bovendien is de monitor kantelbaar, zodat je altijd in de meest optimale houding gebruik maakt van deze monitor.","119,-","LG","24M47VQ","24 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,7 cm x 19,7 cm x 43,8 cm","2,8 kg"
Monitoren,"iiyama ProLite XB2483HSU-B2","Met de iiyama ProLite XB2483HSU-B2 worden jouw werkdagen voor de monitor een stuk comfortabeler. Dit Full HD beeldscherm is namelijk roteerbaar, kantelbaar, draaibaar en in hoogte verstelbaar. Zo werk je altijd in een ergonomische houding. Bovendien beschikt deze monitor over een Blue Light Reducer en Flicker Free technologie. Dit zorgt ervoor dat je minder snel last krijgt van geïrriteerde ogen. Wil je een groter werkoppervlak creëren en meerdere monitoren naast elkaar zetten? Dat kan, dankzij de HDMI, DVI en VGA aansluitingen.","159,-","Iiyama","XB2483HSU-B2","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, DVI, USB-type A","55,25 cm x 23 cm x 38,1 cm","5,6 kg"
Monitoren,"LG 34UM88C","Zoek jij veel digitale werkruimte en accurate kleurweergave? Dan is de LG 34UM88C er voor jou. Op dit ultrawide scherm heb je als video- of audioprofessional je hele project in één keer in beeld, zo behoud je het overzicht en ga je gefocust te werk. Ook als professionele Photoshop goeroe lever je dankzij 100% sRGB kleurweergave alleen de beste kwaliteit. Het IPS paneel zorgt dat kleuren vanuit elke hoek even goed zichtbaar zijn. Met al die uren die je in projecten steekt, is een ergonomische zithouding erg belangrijk, daarom stel je met deze LG de hoogte en hoek precies af zoals jij het wilt hebben.","579,-","LG","34UM88C","34 inch","3440 x 1440 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, USB-type A","82,99 cm x 25,24 cm x None","8,4 kg"
Monitoren,"Philips 243S7EHMB/00","De Philips 243S7EHMB/00 is een 24 inch monitor die op meerdere manieren verstelbaar is. Zo ga je ergonomisch te werk en pas je de monitor aan jouw zithouding aan. Gebruik de 243S7EHMB/00 op kantoor voor simpele taken als tekstverwerken, internetten en spreadsheets. Het IPS paneel zorgt voor brede kijkhoeken en een natuurgetrouwe kleurweergave op het scherpe Full HD beeldscherm. Zo laat je jouw collega's makkelijk meekijken naar een presentatie die je in elkaar geknutseld hebt. Werk je lang achter elkaar achter je beeldscherm? Dan vermindert het blauw licht filter de kans op geïrriteerde ogen en vermoeidheid. Via het kabelmanagement werk je aansluitkabels uit het zicht en houd je jouw bureau netjes.","149,-","Philips","243S7EHMB/00","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","54 cm x 20,2 cm x 48,3 cm","5 kg"
Monitoren,"AOC i2790PQU/BT","De AOC i2790PQU/BT is een basis 27 inch IPS monitor die zowel thuis of op kantoor uitblinkt dankzij de goede kleurweergave. Met 100% dekking van het sRGB kleurenspectrum is deze monitor bijzonder geschikt voor het bewerken van vakantiefoto's, video's en ander kleurgevoelig werk. De monitor is ontworpen om comfortabel een avond of een werkdag achter de monitor door te brengen. Zo is de monitor voorzien van trillingsvrije technologie, zodat je aan het eind van de dag geen last van je ogen hebt. 'S avonds nog aan de slag? Het blauw licht filter voorkomt slaapproblemen en maakt het licht minder zwaar op je ogen. De monitor is volledig verstelbaar zodat je altijd vanuit een comfortabele houding naar het scherm kijkt.","239,-","AOC","i2790PQU/BT","27 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","61,26 cm x 20 cm x 53 cm","5,8 kg"
Monitoren,"Philips 243V7QDAB","De Philips 243V7QDAB is een 23,8 inch monitor geschikt voor dagelijkse taken als e-mail lezen en internetten. Teksten worden met de Full HD resolutie scherp weergeven en zijn vanuit elke hoek goed zichtbaar dankzij het IPS paneel. Met het blauw licht filter scroll je ook in de late uurtjes nog even door je Facebook tijdlijn heen zonder dat je er vermoeide ogen aan overhoudt. Luister je graag muziek via Spotify? Deze Philips monitor heeft ingebouwde speakers zodat je gelijk van geluid bent voorzien.","139,-","Philips","243V7QDAB/00","23,8 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","54 cm x 20,9 cm x 41,5 cm","3,5 kg"
Monitoren,"Dell Ultrasharp U2715H","De Dell U2715H is een 27 inch WQHD IPS-monitor. Door de IPS-techniek geniet je van een levensechte kleurweergave en is het beeld vanuit elke hoek haarscherp te zien. Dankzij de 99% sRGB-kleurruimte is deze monitor zeer geschikt voor foto- en videobewerking. Omdat de monitor in hoogte verstelbaar, draaibaar, kantelbaar en 90 graden roteerbaar is, werk je altijd in de meest optimale stand. Deze monitor sluit je aan via HDMI of DisplayPort. Bovendien is de Dell U2715H uitgerust met een MHL-poort. Hiermee verbind je jouw Android-telefoon met de monitor en kun je apps, games, foto's en films bekijken. Daarnaast heeft de Dell U2715H een ingebouwde usb-hub, zodat je gemakkelijk randapparatuur aansluit.","499,-","Dell","210-ADSO","27 inch","2560 x 1440 pixels","8 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A","61,27 cm x 20,5 cm x 52,49 cm","4,91 kg"
Monitoren,"LG 34UC98-W","Zoek jij veel digitale werkruimte en accurate kleurweergave? Dan is de LG 34UC98-W er voor jou. Op dit gebogen ultrawide scherm heb je als video- of audioprofessional je hele project in 1 keer in beeld, zo behoud je het overzicht en ga je gefocust te werk. Ook als professionele Photoshop goeroe lever je dankzij 99% sRGB kleurweergave alleen de beste kwaliteit. Het IPS paneel zorgt dat kleuren vanuit elke hoek even goed zichtbaar zijn. Met al die uren die je in projecten steekt, is een ergonomische zithouding erg belangrijk, daarom stel je met deze LG de hoogte en de hoek precies af zoals jij het wilt hebben.","899,-","LG","34UC98-W","34 inch","3440 x 1440 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Thunderbolt, USB-type A","81,8 cm x 23,1 cm x 45,2 cm","7,8 kg"
Monitoren,"AOC i2475PXQU","Maak je werkplek op kantoor of thuis compleet met de AOC i2475PXQU. Deze 23,8 inch monitor is op 4 verschillende manieren te verstellen en daarmee past hij zich makkelijk aan jouw ideale werkhouding aan. Zo krijg je niet snel last van lichamelijke klachten als je vaak langere tijd voor dit beeldscherm zit. Sluit meerdere van deze AOC monitoren aan op dezelfde pc via de DisplayPort, HDMI, DVI-D en VGA aansluitingen. En luister ondertussen naar een muziekje dankzij de ingebouwde speakers.","169,-","AOC","i2475PXQU","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","55,44 cm x 21,29 cm x 48,9 cm","3,03 kg"
