product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Canon PIXMA MG3053 Blauw Wit","Zet deze Canon PIXMA MG3053 thuis op je bureau en verstuur draadloos via wifi al je printopdrachten en print al je foto's en facturen. Daarnaast print je ook al je documenten of foto's vanuit de cloud of je social media accounts. Mocht je niet in de buurt zijn van een wifi netwerk dan is dat geen probleem. Start de Canon Print app op op je smartphone of tablet en maak via de 'Access Point-modus' verbinding met de printer. Zo heb je geen excuus meer om niet dat ene concertkaartje uit te printen voor je vrienden. Verder springt de printer uit zichzelf aan vanuit de energiebesparingsstand door middel van de 'Auto Power On' functie. Je print dus direct zonder dat je de printer handmatig aan moet zetten.","49,99","Canon","1346C066AA","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Inkjetprinters,"Canon PIXMA MG5750","De Canon PIXMA MG5750 is een wifi printer voor thuis. De printer is geschikt voor Cloud Print en AirPrint, zodat je ook vanaf je smartphone en tablet print. Dankzij de hoge printresolutie en 5 losse cartridges, zijn je prints haarscherp én bespaar je op je inktkosten. Je hoeft namelijk alleen de kleurencartridge te vervangen die leeg is. Scannen en kopiëren doe je direct via het scherm aan de voorkant.","57,-","Canon","0557C006AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Inkjetprinters,"Epson EcoTank ET-2650","Vervang niet meer na 100 afdrukken de cartridges met de Epson EcoTank ET-2650 inkjetprinter. Met deze printer druk je tot 4.000 zwart-wit of 6.500 pagina's in kleur. Bij een vergelijkbare printer heb je op dat moment al twintig keer de cartridges vervangen. Als de inkt op is dan vul je zelf de inkt bij met inktflessen. Dankzij wifi-direct maak je rechtstreeks contact met de printer met je smartphone of tablet zonder gebruik te maken van een wifi netwerk. En verstuur je met de Epson Connect app op je smartphone of tablet je printtaken naar de printer. Hierdoor stuur je je printtaken zelfs als het wifi bereik slecht is. De EcoTank ET-2600 is een all-in-one printer wat betekent dat je naast printen ook facturen inscant en bonnetjes kopieert.","259,-","Epson","C11CF47402","All-in-one","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","5 kg"
Inkjetprinters,"HP ENVY 4526 All-in-One","Deze HP ENVY 4526 All-in-One inkjetprinter is een wifi printer voor thuis. Verstuur je printjes draadloos via het netwerk. Of verbind je smartphone of tablet direct met de printer, zonder verbonden te zijn met een draadloos netwerk. Via het 5,5 cm grote touchscreen stel je de printer gemakkelijk in zonder dat er een pc bij komt kijken. Verder maakt de printresolutie van 4800 x 1200 dpi deze HP printer geschikt voor het afdrukken van foto's. Dankzij de 'stille modus' maakt de printer tijdelijk minder geluid. Hierdoor print je ook in de late uurtjes je project nog uit. En door de automatisch uitschuifbare uitvoerlade vallen je printjes na het afdrukken niet op de grond.","59,99","HP","K9T05B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,7 cm x 12,8 cm","5,41 kg"
Labelprinters,"DYMO LabelWriter 450 Bundel","Met deze DYMO LabelWriter 450 Bundel labelprinter maak je etiketten van 62mm breed en orden je al je mappen, (pakket)post en collega's. De labels worden door middel van warmte direct overgebracht op hittegevoelige labels, waardoor je je nooit zorgen hoeft te maken over het kopen van inkt. Sluit de labelprinter aan op je pc of Mac en met behulp van de DYMO Label Software druk je teksten op etiketten meteen af vanuit Word, Outlook, Quickbooks, Cardscan of het adresboek van je Mac.","59,99","Dymo","DYM-1896042","None","None","None","300 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Inkjetprinters,"Epson Expression Premium XP-640","De Epson Expression Premium XP-640 is een fotoprinter voor veeleisende gebruikers. Druk je vakantiefoto's, promomateriaal en zelf ontworpen kaarten af in hoge kwaliteit. Met een afdrukresolutie van 5760 x 1440 dpi weet je zeker dat je foto's gedetailleerd geprint zijn. Ben je onderweg? Vanaf je telefoon stuur je een printopdracht zodat je prints klaar liggen wanneer je thuiskomt. Door de toevoeging van een fotozwarte cartridge print je jouw foto's en afbeeldingen in diepzwarte tinten. De printer heeft twee papierlades waarvan één speciaal voor fotopapier. Bespaar daarnaast op papiergebruik door dubbelzijdig af te drukken. Scannen en kopiëren in kleur is ook mogelijk. En heb je geen pc bij de hand, gebruik het 6,8 inch kleuren touchscreen van de XP-640 en print je opdrachten direct vanaf een sd kaart.","99,-","Epson","C11CF50403","All-in-one","Inkjet","A4","5760 x 1440","13 ppm","10 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,7 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fdw","De HP Color LaserJet Pro MFP M477fdw print automatisch dubbelzijdig én heeft wifi. Zo print, scan, kopieer en fax je tegelijk met de gehele werkgroep via dezelfde printer. De M477fdw is daarnaast via het 10,9 cm touchscreen aan de voorkant van de printer te bedienen. Zo hoef je niet eerst de pc op te starten om een opdracht uit te voeren. Ook als je vaak op je laptop, smartphone of tablet werkt, biedt de M477fdw uitkomst. Download de HP ePrint app en je verstuurt draadloos opdrachten naar de printer.","399,-","HP","CF379A","All-in-one","Laser","A4","600 x 600","27 ppm","27 ppm","0,256 GB","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Inkjetprinters,"HP OfficeJet Pro 8725 e-All-in-One (M9L80A)","De HP OfficeJet Pro 8725 e-All-in-One (M9L80A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen zonder tussenkomst van een pc in op het 11 cm grote touchscreen. Verbind je laptop of mobiel via wifi en print automatisch dubbelzijdig en benut je beide kanten van het papier. Dankzij de dubbelzijdige automatische documenteninvoer (DADF) scan en kopieer je tot 50 documenten in één moeite dubbelzijdig. Scan kwetsbare documenten in met de ingebouwde flatbedscanner.","219,-","HP","K7S35A","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Laserprinters,"Samsung Xpress SL-M2026W","De Samsung Xpress SL-M2026W is een snelle zwart-witprinter met wifi. Met deze printer print je namelijk tot maar liefst 20 pagina's per minuut. Je eerste pagina komt al na slechts 9 seconden uit je printer te rollen. Door de hoge printresolutie zijn je documenten goed leesbaar, zelfs wanneer je kleine lettertypes gebruikt. Dit maakt de printer voornamelijk geschikt wanneer je voornamelijk tekstdocumenten print voor je werk of je studie.","68,99","Samsung","SL-M2026W/SEE","Alléén printen","Laser","A4","1200 x 1200","20 ppm","None","None","33,1 cm x 21,5 cm x 17,8 cm","4 kg"
Labelprinters,"DYMO LabelManager 280","Maak met de DYMO LabelManager 280 tapeprinter labels op met een breedte tussen de 6 en 12 mm en organiseer je documenten, kantooraccessoires en randapparatuur. Door zijn vorm ligt hij goed in hand. En de ingebouwde oplaadbare batterij zorgt ervoor dat je de tapeprinter ook zonder stopcontact gebruikt. Net zoals op jouw pc of Mac, werk je met een QWERTY toetsenbord. Eenmaal ingevoerd, zie je direct op het scherm hoe je label eruit ziet en druk je deze meteen af. Sluit de tapeprinter aan via usb en maak je labels met de DYMO Label Software op.","59,-","Dymo","S0968920","None","None","None","None","None","None","None","10,8 cm x 20,6 cm x 4,7 cm","0,4 kg"
