product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Acer Aspire ES1-523-81VF","De Acer Aspire ES1-523-81VF is een 15,6 laptop waarop je aan een presentatie werkt of de administratie bijhoudt. Bewaar je bestanden op de 256 GB SSD, waarmee je nooit meer een lange laadtijd hebt. Deze schijf start je programma's en bestanden namelijk binnen een paar seconden op. Bewerk je vakantiefoto's of kijk films op het anti reflecterende Full HD beeldscherm. Hierop heb je minder last van weerspiegelingen en weerkaatsend zonlicht. Veel met cijfers bezig? Dan vul je deze makkelijk in je sheets in met het numerieke toetsenbord.","499,-","Acer","NX.GKYEH.047","15,6 inch","1920 x 1080 pixels","AMD A8 7410","AMD Radeon R5","None","8 GB","256 GB SSD","38,18 cm x 25,8 cm x 2,46 cm","2,4 kg"
Laptops QWERTY,"HP Pavilion 15-cc593nd","Thuis of onderweg, met de 15 inch HP Pavilion 15-cc593nd  bewerk je foto's en werk je met meerdere programma's tegelijkertijd. Je gaat gelijk aan de slag, want de SSD heeft ongeveer 15 seconden nodig om Windows 10 op te starten. Ook geïnstalleerde programma's op de 128 GB SSD laden in enkele seconden en tot twee keer sneller dan op een normale harde schijf. De NVIDIA GeForce 940MX videokaart regelt grafisch zware taken en is snel genoeg voor games als Minecraft. Je foto's, video's en bestanden bewaar je op de 1TB harde schijf. Films, foto's of games, het IPS paneel toont vanuit elke kijkhoek de ware kleuren. Bij weinig licht zie je precies welke toetsen je aanslaat op het verlichte toetsenbord.","849,-","HP","2GR85EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","37,8 cm x 25,21 cm x 1,99 cm","1,91 kg"
Laptops QWERTY,"HP 17-ak092nd","De HP 17-ak091nd is een laptop die je als desktopvervanger gebruikt. Bekijk je sociale media aan de keukentafel of zet de laptop op je bureau om een belangrijk verslag af te typen. Klap de laptop open en ga meteen aan de slag, want met de 256 GB SSD start je hem in ongeveer 15 seconden op. Het 8 GB werkgeheugen helpt je zware taken snel uit te voeren en programma's op de achtergrond te draaien. Zo voer je tijdens maken van een presentatie makkelijk een download via je internetbrowser uit en stream je muziek via Spotify. Op het 17,3 inch beeldscherm heb je genoeg ruimte om met twee vensters naast elkaar te werken of te genieten van je favoriete Netflix series.","549,-","HP","2HP94EA#ABH","17,3 inch","1600 x 900 pixels","AMD A9 9420","AMD Radeon R5","4000 MB","8 GB","256 GB SSD","41,5 cm x 27,8 cm x 2,46 cm","2,5 kg"
Laptops QWERTY,"HP Pavilion Power 15-cb091nd","Met de 15 inch HP Pavilion Power 15-cb091nd ga je aan de slag met het bewerken van foto's, video's en het spelen van games. De i7 processor draait zware audiovisuele programma's namelijk zonder problemen. De NVIDIA GTX 1050 videokaart neemt de zware grafische taken voor zijn rekening en is geschikt om games als Overwatch op hoge instellingen te spelen. Zware programma's en games installeer je op de 256 GB SSD, hierdoor starten ze in enkele seconden op en laden levels en ontwerpen sneller. Je audiovisuele projecten bewaar je samen met je filmcollectie  op de 1 TB harde schijf. Gamen, films kijken en grafisch werk, het ontspiegelde IPS paneel garandeert ware kleuren vanuit elke kijkhoek. Er zit een uitgebreide garantie op, dus als je een technisch probleem hebt, komt er de volgende werkdag een expert langs om het probleem te verhelpen.","1.249,-","HP","2FN08EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","37,8 cm x 25,22 cm x 2,41 cm","2,21 kg"
Laptops QWERTY,"HP 15-bs591nd","De HP 15-bs591nd is een 15 inch notebook waarop je zonder haperen met meerdere programma's tegelijk werkt. De 256 GB SSD start de laptop in ongeveer 15 seconden op en zorgt dat programma's binnen enkele seconden laden. Zo bewerk je jouw net geschoten foto's en update je ondertussen je website en werk je meteen boekhouding bij. Thuis series kijken of onderweg werken, de anti-glare coating gaat schitteringen en reflecties op het scherm tegen zodat je het scherm altijd goed ziet.","599,-","HP","2GR60EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"Lenovo Yoga 520-14IKBR 81C80065MH","De Lenovo Yoga 520-14IKBR 81C80065MH is een laptop en tablet in één waarop je foto's bewerkt en tekeningen maakt. Het 14 inch beeldscherm van deze 2-in-1 ondersteunt Windows Ink, waardoor je in elk programma aantekeningen maakt en tekent en schrijft alsof je op papier schrijft. Klap het touchscreen 360 graden om en gebruik de Yoga als tablet om al je creatieve ideeën uit te tekenen. Presenteer je werk aan je collega's of klasgenoten door hem in de tentstand te zetten. Dankzij de Core i5 processor werk je met meerdere apps tegelijkertijd en bewerk je jouw foto's in zware programma's als Photoshop. Toch een keer een verslag typen? Dat doe je ook in het donker op het verlichte toetsenbord.","799,-","Lenovo","81C80065MH","14 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel UHD Graphics 620","None","8 GB","256 GB SSD","32,8 cm x 22,9 cm x 1,99 cm","1,7 kg"
Laptops QWERTY,"Lenovo Legion Y520-15IKBN 80WK00U8MH","Met de Lenovo Legion Y520-15IKBN 80WK00U8MH bewerk je video's en speel je games als Overwatch op hoge instellingen. De NVIDIA GeForce GTX 1050 videokaart zorgt namelijk voor goede grafische prestaties en vloeiende bewegende beelden. Met de krachtige Core i7 processor en het werkgeheugen van 16 GB werk je met meerdere programma's tegelijkertijd en voer je zware berekeningen snel uit. Start je games en apps in een paar seconden op dankzij de PCIe SSD, die nog sneller is dan een normale SSD. Je favoriete titels bewaar je naast je muziek en films op de 1 TB harde schijf. Ga je helemaal op in een level en begint het donker te worden? Dan speel je gewoon door op het verlichte toetsenbord.","1.099,-","Lenovo","80WK00U8MH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","128 GB SSD + 1 TB HDD","38 cm x 26,5 cm x 2,58 cm","2,4 kg"
Laptops QWERTY,"Apple MacBook Air 13,3'' (2017) MQD32N/A","De Apple MacBook Air neem je overal mee naartoe om je mail te checken, je sheets bij te werken en films te kijken. Dankzij de lange batterijduur van ongeveer 12 uur ga je een dag op pad met je MacBook Air zonder hem te hoeven opladen. Met zijn compacte formaat van 13,3 inch past hij makkelijk in je tas. De Intel Core i5 processor is geschikt om soepel met meerdere programma's tegelijkertijd te werken. Klap je laptop open en ga meteen aan de slag, want de SSD schijf start je MacBook namelijk in 15 seconden op en opent je apps in een paar seconden.","979,-","Apple","MQD32N/A","13,3 inch","1440 x 900 pixels","Intel Core i5 5300U","Intel HD Graphics 6000","None","8 GB","128 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"HP ProBook 450 G4 i5-8gb-256ssd","Werk je sheets bij of bewerk foto's en presentaties op de HP ProBook 450 G4 i5-8gb-256ssd. De 256 GB SSD is beschermd met een TPM chip, waardoor niemand toegang heeft tot jouw documenten. Veel onderweg? Met Windows 10 Pro heb je gemakkelijk toegang tot je pc op kantoor, waardoor je overal bij je bestanden kunt. Wees niet bang als je ProBook een keer valt, want daar is hij tegen bestand. Deze laptop is namelijk militair getest op vallen en stoten. Dankzij het morsbestendige toetsenbord is het zelfs niet erg als je koffie over je laptop gooit. Ben je vaak in de weer met cd's en dvd's? Speel ze af of brand ze met de ingebouwde optische drive.","899,-","HP","748194","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"Asus ZenBook UX410UA-GV028T","De Asus ZenBook UX410UA-GV028T gebruik je om overal te werken met diverse programma's. Bewerk foto's, maak tabellen of check je Facebook. Terwijl je aan het bewerken bent, zie je vanuit elke hoek natuurgetrouwe kleuren op het IPS paneel. Klap deze 13 inch laptop met  14 inch scherm open en ga binnen 15 seconden na het aanzetten aan de slag door de 256 GB SSD. Zet een presentatie in elkaar of werk alvast wat mails weg in de trein. De laptop weegt door de 13 inch behuizing maar 1,4 kilogram, waardoor je hem makkelijk overal mee naartoe neemt.","899,-","Asus","90NB0DL1-M03870","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
